,x,y
0,-18.520336,-4.599929
1,-5.853693,50.313244
2,-6.7247987,47.703083
3,-22.195066,-3.6502554
4,-7.2162046,51.019512
5,-12.216421,-1.3276262
6,-8.721472,35.253227
7,-20.636156,27.879253
8,-6.919578,55.990906
9,-18.619102,30.48846
10,-28.210735,57.067
11,-31.77906,58.407326
12,-23.831663,61.201584
13,-19.303427,59.930347
14,-21.987484,59.487843
15,34.067432,-7.9316845
16,-25.922293,60.911114
17,-13.600901,-2.0987275
18,-11.248704,59.407837
19,-22.71177,61.600544
20,-20.607565,-7.86896
21,-23.03545,-9.632743
22,-23.27513,-8.885548
23,-19.870697,29.39353
24,-17.185686,61.442257
25,-7.7411966,47.93335
26,-12.7351265,54.658657
27,-20.521173,62.270237
28,-21.464067,-16.481966
29,-22.737566,-8.30358
30,-9.563422,31.472855
31,-17.00672,-25.35065
32,3.7806916,-27.76304
33,-22.991705,-9.164289
34,-5.3476467,53.274963
35,-21.294678,61.431965
36,-26.620626,60.85201
37,-27.385601,58.43324
38,-32.605206,54.05672
39,5.8031626,-7.5261908
40,-18.069824,-23.466784
41,-22.64088,21.624699
42,-28.695248,0.17498836
43,-29.74873,54.841965
44,-35.563282,54.24104
45,-25.643902,57.763634
46,-22.11998,57.77839
47,-6.6450086,47.026215
48,-22.656105,-2.6078568
49,-25.684235,5.001562
50,-28.234219,60.398705
51,-19.31286,29.9446
52,-30.625128,54.227753
53,-23.66413,-9.722448
54,40.39478,-28.460886
55,-8.297679,46.3744
56,-32.83058,54.265533
57,-17.255417,-25.065912
58,-27.774887,2.218878
59,-17.658371,33.501892
60,-3.095556,-37.50261
61,-26.88331,55.88668
62,-21.983038,60.867718
63,-30.790434,58.838867
64,-35.075054,54.1837
65,-0.9230585,-29.806763
66,-24.842714,-51.34797
67,-13.517634,-31.20336
68,-28.98658,55.048687
69,-20.416872,-49.916145
70,-10.852723,-39.22176
71,-19.506746,-49.886177
72,-33.718246,54.881348
73,-17.646894,-49.483437
74,-23.730564,23.045643
75,-31.896006,54.68563
76,-30.421383,54.309288
77,-22.69999,22.484713
78,-27.24239,4.629767
79,-12.892849,-32.427357
80,-12.977495,52.346745
81,-11.98139,-35.751545
82,-25.4288,-1.5600392
83,-21.562403,-11.638983
84,2.700226,-2.940781
85,0.2388448,-43.783985
86,-19.838808,6.35036
87,-29.898886,54.51783
88,-19.787918,-14.828243
89,-17.450918,-23.014595
90,-21.34188,-14.15146
91,-24.516535,-49.757656
92,-20.109894,-16.932161
93,-12.62943,59.866375
94,-33.80789,55.379364
95,-31.10058,54.348343
96,-24.202417,-51.589073
97,-28.578033,58.033577
98,-17.714645,-23.865232
99,-16.072342,-8.058762
100,-27.088549,60.816254
101,-12.957946,29.91261
102,-26.444973,6.077611
103,-13.901022,-4.9219956
104,-11.977228,-35.790188
105,-27.494047,8.357233
106,-31.594099,54.416275
107,-28.311089,0.7129481
108,-34.572456,56.43019
109,-28.150902,2.610666
110,-17.444115,-27.854948
111,-13.520755,-30.977062
112,-4.09949,-13.821116
113,-2.6862884,-45.2987
114,-16.237906,33.43457
115,-14.819944,-28.616758
116,-23.726742,-51.818676
117,-35.323532,54.1545
118,-11.504183,50.38134
119,-24.753515,-8.676456
